"","text"
"1","  smelled  scent  hand sanitizers      past       intoxicated  "
"2","hey  wouldnt     sense    players pay  respects    "
"3",""
"4",""
"5"," july media bulletin  novel coronavirusupdates  "
"6",""
"7","   change     recruiting specifically via recruiting "
"8","    wear  coverings   shopping  includes  visit   local community pharmacy "
"9","praying   health  recovery   covidpositive"
"10","pope  god prophet sadhu sundar selvaraj watch   hurricanehanna  "
"11","     response  please cancel  compartment exa "
"12","  logo graphicdesigner logodesign logodesinger icon minimalist abstract "
"13","     safe  "
"14","  protect ourselves    real     climbing  fast   continent   "
"15","rajasthan government  started  plasma bank  sawai  singh hospital  jaipur  treatment   pa "
"16","nagaland police   awareness  city tower junction dimapur  keepsocialdistance "
"17","july  update tamilnadu discharge people tested actice  chennai "
"18"," wave  "
"19","    darkest moments    focus    lightaristotle "
"20"," update  infection rate  florida  following  natural curve  experts predicted   initial cu "
"21","  patriots call  volunteer    election judge polls    "
"22",""
"23","  image doesnt list  source  id  careful  overall risk  dying statistics related  "
"24","  comprehensive review  wash amp  analysis key    wash  help reduce transmission "
"25","holy water  times  "
"26","kolar  blood type bpositive  jalappa hospital blood component  plasma  bve  recove "
"27",""
"28","  imagine   people profiting   human suffering  "
"29","tncoronaupdate tn crosses lakh mark  ppp  recovered    positive  total "
"30"," tax reform taxfree minimum   company  five hundred thousand euros   taxfree minimum "
"31",""
"32","actor   father mrgkreddy tested positive   days   vishal  "
"33"," update   total   recoveries  deaths reported  countries  africa   total numb "
"34"," regarding  community outbreak  "
"35"," safe   visit     guests   hotel  meticulous  applying hand sanitation  als "
"36"," ceo live  wsu talking   effects    students "
"37"," im feeling  little anxious  "
"38",""
"39","  borisjohnson   understood    hadnt missed cobra meeting five  "
"40",""
"41",""
"42",""
"43","britain didnt understand   months  plenty   countries  understand    effective "
"44","volume      please "
"45","delhi reports  positive   deaths  saturday death toll rises  reports ani quot "
"46",""
"47","tamilnadu  th july tn  spike total  chennai "
"48","  ruto  eulogisied mkapa   moses kuria raila rutoswindlinggema "
"49","coronavirus testing fiasco st mirrenhave pledged  undertake  urgent review    testing proced "
"50","coronavirus testing fiasco st mirrenhave pledged  undertake  urgent review    testing proced "
"51","tamilnadu  th july tn  spike total  chennai  "
"52","coronavirus testing fiasco st mirrenhave pledged  undertake  urgent review    testing proced "
"53","coronavirus testing fiasco st mirrenhave pledged  undertake  urgent review    testing proced "
"54","coronavirus testing fiasco st mirrenhave pledged  undertake  urgent review    testing proced "
"55","testing  lakh population  jammu  kashmir  reached     country recovery  "
"56","coronavirus testing fiasco st mirrenhave pledged  undertake  urgent review    testing proced "
"57","coronavirus testing fiasco st mirrenhave pledged  undertake  urgent review    testing proced "
"58"," reporting  yesterday people died  "
"59","crazy   world       americans   fight     "
"60"," people  relatives  died  "
"61"," coronavirus   deaths reported   united   date    "
"62",""
"63","due  "
"64"," video    stitches obesity زواجراكانالحربي carryminati myvsbutch "
"65","  instagram post   factscovid deaths rates  rising  lockste "
"66","local government sales tax revenue dropped percent yeartoyear    quarter thanks   shutdo "
"67","look  lil donny micro dick    astounding achievement  brilliance cognitive capabilities  "
"68",""
"69",""
"70","concealed nation million giveaway    familys safety    criminals "
"71","check  angels beautiful mask  hair bow designs  "
"72","thread  based  international research  evidence updated thread  children   sum "
"73"," municipality reports   fatality due   compared  yesterday  fatality  located  fa "
"74","  home walls   upgradation  opt   experts hire mumbaipainters    walls  "
"75","  shrink power sector growth  discoms   preuday era industry "
"76","saturdayvibes  current situation calls   awareness   stress  facilitate  families   "
"77"," economic measures  governments taking  respond  "
"78","  everyones fight   covered major disasters       vi "
"79","    government  hugely overestimated  danger   disease  wonder  hed  brave en "
"80","  time    spike     isvery hard  reverse   drastic lockdown   time  "
"81",""
"82","hi  time    preparation   reopening    doing  homework   "
"83","   money   beginning   pandemic  woman front line workers  "
"84"," ireland built   contract tracing app    successful         "
"85","rakesh sharma  business coach  india website salescoach businesscoach salesforce "
"86","  link       stuff  loony conspiracytheories    screenshot  "
"87","nstworld      nationaldayrally ndr   due  safe distancing requirements   result  "
"88"," cost  preventing  pandemics    decade  protecting wildlife  forests  equate  ju "
"89","learn     period    animations training ongoing click  link below  join   "
"90"," women lawyers write  amitshah seeking lakh loan  financially drained lawyer  coronavirus "
"91"," literally am using  own head   decisions  safety  "
"92","ok im angry    believe  stupidity      "
"93","durbanjuly   weekend yall   pity      facing    cant   person "
"94","    try "
"95","shout   earth hands   worst reaction   emergency ive  seen  lottery  shut   "
"96","tamilnadu  th july tn  spike total  chennai "
"97",""
"98",""
"99",""
"100","pr   father mrgkreddy tested positive   days   vishal  "
"101","        hit  hanna   hotspot  hurricane harvey   ongoing "
"102","    population  infected    trumpvirus maskitorcasket"
"103","   "
"104"," imagine thinking  toddlerinchief didnt ignore  ja "
"105","   dashboard  boost post"
"106","coronavirus  disproportionately affecting communities  color especially hispanic latinx ones   ho "
"107"," debates ensue  reopening schools amid   leader  nigeria  "
"108","companies  protect  workforces physical  mental health   crisis    smart technology "
"109","todays  total  todays sample todays cured total cured todays death total "
"110","drkawana minister  fisheries  marine resources whats  hold   please release announce  names  "
"111","      yesterday "
"112"," "
"113"," yes evidence  increased plus   guidance  due   global ppe shortage priority  "
"114"," school employees exposed  "
"115"," italy "
"116","cum check   ill dm  nudes onlyfansbabe ihaveajoke onlyfansgirl alreadyvideo "
"117"," cm  madhya pradesh  tested positive    scindia    tested  "
"118"," mayors reflect   evolving response   coronavirus pandemic click  lin "
"119","bihar witnesses biggest singleday spike     "
"120","lunch  "
"121","weve captured  snapshot   amazing vcse response    pandemic  salford     thank "
"122",""
"123","punjab govt warns people   click   url circulated via smswhatsapp claiming  relief package  rs "
"124"," worst type  spread "
"125"," fargo tightens purse strings  ride  coronavirus pandemic read  cdc "
"126","    informative   lots    especially    school age kids "
"127"," agreed    mean  exactly     travellers   educatin "
"128","veteran affairs reports     deaths bringing total confirmed      "
"129","irish home commercial building model   perfect breathing groung   "
"130","thinkpiece  gender  climate change   context   "
"131","leicestershire residents   develop   symptoms  mild ones book  test immediately  "
"132","im emotionally exhausted    coming soon "
"133","actor   father  gk reddy tested positive    couple  weeks ago vishals  "
"134"," imaginegoing   sitting   average  nearly days    car  standstill traffic  lo "
"135","global fatalities chart    hourscovid bolsonaro trump modi "
"136"," dont drown  falling   river   staying submerged    saturdaymotivation truth "
"137",""
"138","sounds  plandemic       life heres  thread    run  debunks  major cl "
"139","     trum "
"140","      affected  social anxiety wearing   mask  amazing  feel slightly hidden fro "
"141"," id pay  republicans  leave america "
"142","vietnams  level  preparedness  prevent  spread deputy pm "
"143"," youre totally wrong ecuador   latin american country    causable mortality wit "
"144","  fatigue people  front lines   replace   fatigue "
"145"," provided  north devon tourist attraction   digital "
"146","mask print "
"147","republicansforbidennow  republican   trumps own words    searing swingstate ad "
"148","  course  "
"149",""
"150",""
"151","learning  fun   surprisingly  easy  join wlf nigeria ambassadors  promote learning  "
"152","todays  day  "
"153",""
"154"," art"
"155",""
"156","  quick estimates   arizona post apex recovery rate  avg peak  confirmed  "
"157",""
"158","kerala private hospitals  treatment rates   ward hdu icu icu ventilator  "
"159","due   epidemic im giving   person   looking     able   round   "
"160",""
"161","     deaths  uzbekistan gmt coronavirus coronavirusupdate  coronaviruspandemic"
"162","bignews rajasthan governor kalraj mishra appeals    recovered patients  donate  plasma  "
"163",""
"164",""
"165","local tv stations owned  sinclair broadcast   set  air discredited plandemic researchers conspiracy th "
"166","photos "
"167"," yes   learning     day amp  listening   science "
"168","alhamdulillah coronavirus  deaths reported  hours  qatar qatar  coronavirus "
"169","praniks giloy capsules   farreaching benefits  fight   infections  boost  immunity "
"170"," pcrcbnaattruenat tests  rapid antigen tests conducted   total  test "
"171","    dead  "
"172","virtual chro paneldiscussion  reimagining workplaces amid   july register "
"173"," actions killed   killing whats  word    people  willfully  intention "
"174"," people   shops supposed  wear  covering "
"175","delta flight departing  detroit      guests refuse  wear masks airlines coronavirus "
"176"," please   educate    application process  physical presence isnt  due  "
"177","puerto rico reports     deaths bringing total confirmed     total de "
"178","  positive  patients recovereddischargedmigrated  deaths  delhi    "
"179",""
"180",""
"181",""
"182","        shorter line  arrive min    brewer testing center   "
"183",""
"184","deeply saddened   untimely demise  constable krishna kanta burman due  "
"185","maharashtra government cuts syllabus   students  class  view   pandemic  school  "
"186",""
"187"," unlike    federal government  depends  funding  fees  collects  citizenship gree "
"188","  parents    flexibility    home  send  child  school   datainformation "
"189",""
"190",""
"191","rutlands own supporting  testing "
"192","  time   beloved survivors  "
"193"," feeling    symptoms     "
"194","   understand improving quality  represents  soap  water  wash  hands   "
"195","    spread lies hate sexual violence  murder  foxnews"
"196",""
"197",""
"198"," delhi reported    deaths  taking  total      death tally  "
"199","  tech leaders help position  organizations "
"200",""
"201"," "
"202","   "
"203","successful openingday   grandslam walkoff  mattolson   else thinking six feet   ce "
"204",""
"205","   deaths    fourth day   row  questions   global supply chains ability  "
"206","    affected   brief  lock    time     animals   permanent "
"207"," positive  patients recovereddischargedmigrated  deaths  delhi    "
"208","check    article  supply chain risks   thwart  successful  vaccine "
"209","stop foggy glasses   hack "
"210","symptom duration  risk factors  delayed return  usual health  outpatients  "
"211",""
"212"," thats  admission  probably   truth   hear     regr "
"213","   bad times    appreciate   ones jeffrey duarte depression "
"214","pr   father mrgkreddy tested positive   days   vishal  "
"215"," pink "
"216","national   impact     elder population    societal loss  wisdom history    "
"217","  andhrapradesh    deaths  samples tested  discharged  "
"218","ale eye opener rep john lewis remembered global pandemic news "
"219"," uncle  tested positive     lost family  please wear  masksocial distance "
"220","venrap radio  playing venrap radio  stay safe   "
"221"," anxiety surrounding   caused bipolar  chrons disease  flare   badly read    "
"222",""
"223",""
"224","coronavirus update nearly countries report record singleday increases  infections  records  "
"225","      insurance   economic burdens   pandemic tens  millions  america "
"226",""
"227",""
"228","manufacturing production activity begins  echo trends indicating  industry normalization   "
"229","covidupdates ap records         hours taking  tally  deaths wer "
"230","economies participating   asiapacific economic cooperation "
"231","world news  shoened  busy people politics trump money wisdom leadershi "
"232",""
"233","july  trend report  dallas tx dfw   hospitalizations deaths day average "
"234","cautious optimism arizona   plateauing  "
"235","   test   easier    wealthier whiter neighborhoods testingwhileblack "
"236"," sit     amp   solution please parents   "
"237","   realized  trump amp   win god forbid   finally stripped aca "
"238","pleased  share   results  worldwide survey  impact  "
"239","remember  trump told    day   miraculously dissapearhe  talking   family friend "
"240","hon municipal commissioner shravan hardikar appeals   patients recovered    donate  "
"241"," feet apart  masks indoors  bad examples       kids wear em "
"242"," truth         coronavirus update saturdaymorning saturdayvibes "
"243",""
"244"," cs   term  hadnt heard   advice goodadvice  "
"245",""
"246","    yesterday  "
"247","yes wakeup  fake plandemic exosomes virustheory    real virus saynotobillgates "
"248","  pleased  announce  inclusion   virology laboratory university  nigeria teaching hospital enugu "
"249","  apartment buildings exempt   mask requirement  makes  sense theres probably people   "
"250"," tips   friends  "
"251","ale parents decide   send kids   school  coronavirus spreads faster   global pandemic "
"252","  football jersey count  md   nfl opting   care   medbikini  "
"253","  stopped    pandemic  havent   information  lala   contacted "
"254","pandemic  push   carolina families  home school miami herald "
"255"," impactful video   liv mcneil demonstrates  minutes   students  outdoor learning "
"256","government tabla player     countries  pandemic   "
"257"," everythings changing     start playing  version  sweet caroline  games th "
"258","   sources    guidance     cdc         check  sour "
"259","  brilliant   people awake   accepting  "
"260",""
"261","businesses"
"262",""
"263","   doing  travel credit  stimulus"
"264","thanks  stressing personal responsibility   "
"265","follow  advisory  fight    workplace  safety    hands stay alert stay safe "
"266"," "
"267",""
"268",""
"269",""
"270","     commendable step    personnel  regard  fight  "
"271"," development   worrying   continue   monitored  closely   rki   exacerbati "
"272","    awesomeness  dont    bbnaijia rihannaxtiwa alreadyvideo  "
"273","   beginning yrs ago  wonderful  addition   family marley  brought    muc "
"274",""
"275","      vaccine   coverings   stay  feels   massive shift towards   "
"276","      loneliest  anyway wearamask realmenwearmasks toughguyswearmasks "
"277","dr ebrahim janahi ceo  tamkeen confirmed  supporting sectors affected   coronavirus pandemic  reac "
"278"," coronavirus  linked  altaqwa college  melbourne   commentary  nearly  existent imagine th "
"279",""
"280"," yes  hoody trayvonmartin  mask     followers  dont   real friends   "
"281","absolutely exceptional situations  extraordinary solutions   fight   battle  usual measu "
"282",""
"283","help slow  spread    identify  risk  sooner  selfreporting  symptoms daily    "
"284"," testing programme  cyprus customer service employees ongoing source "
"285"," late baby sister left   sons  eldest       diagnosed   hes  "
"286","covidupdates      hours   till am apfightscorona covidpandemic "
"287","remember  nonsense  obamacare  death camps     gop  charge   pandemic    "
"288","bbcaq oh yes  am     perfectly happy  selfcertification re distress  wearingamask wearamask viralload "
"289","students  stressed due   pandemic    mentally prepare   examsmoreover     "
"290","bored  saturday morning tired  reading  drama   break  watch ginger    shoes "
"291","   green list  weve     doorstep "
"292"," called   inquiry   influence  "
"293"," director   speaking shortly   peoples assembly event   future  industry jobs  rights   "
"294"," review   recent study  retracted  connected    "
"295","hello twitter delighted  share     innovators creators   leaders visit  website  "
"296"," headlines topnews   hour rajasthan political crisis  stage sitin outside pm house    "
"297"," exgoper amazing     pandemic    regret  choice  hey  late   "
"298","   weeks   limited population       test positive  "
"299","dear    vaccine goes  market please repeal  act  removed liability fro "
"300"," countries  reopeningschools  guess   countries arent  raging hotbed    "
"301","  rough    clubs shut  newyork   hit     suggestions  online "
"302","wow  surprised  am  impressed  mia  understands  rule  waiting  brother fraser   "
"303","france  require onthespot  tests  travellers coming  countries united  brazil alg "
"304"," devils laughing   "
"305"," nope  coronavirus cantstopthetruth "
"306","       lifeuntil nov  day   election   lockdown charade  meani "
"307","doing    help fight    threats addressing  issues  sanitization   pandemic  "
"308",""
"309"," comments   mishandling  senior "
"310","  people praise thee  god    people praise thee    earth yield  increase   "
"311","  cant    coffee shop     reimagine  outdoor space    morning reading "
"312","  croatia       death active  "
"313","  textile  reusable mask   proven ability  inactivate   coronavirus   responsible fo "
"314","  ok   little disturbing       data   korea   youth study   "
"315"," mishandling   pandemic response  lead   excess deaths  premature death   losing game "
"316",""
"317","hush puppy  charged  online fraudster    call  bunch thieves  visible nigeria politicians wa "
"318","andhrapradesh reports     saturday   tally goes    death toll increase "
"319","  guy   wearamask realmenwearmasks toughguyswearmasks maskssavelives "
"320","  "
"321"," trump gop amp  unfit  office  plan return  school church wo "
"322",""
"323","rajasthan government  started  plasma bank  sawai  singh hospital  jaipur  treatment   pa "
"324","help slow  spread    identify  risk  sooner  selfreporting  symptoms daily    "
"325","july jimmy deanishxish  panel "
"326"," reminder     nature       physically   "
"327",""
"328","     deaths   united  gmt coronavirus coronavirusupdate  coronaviruspandemic"
"329","  teachers dont ignore  chaos   world outside  classroom writes instead   "
"330",""
"331"," hope   watching  news    report death    dying  "
"332","      enjoy  telecommuting remoteteaching remotelearning barbados beachoffice "
"333","county health department closes dutch farmers market  "
"334","five     sorsogon include  teenagers bicolnews "
"335",""
"336",""
"337","   netherlands  fatalities hospitalisations di "
"338"," surfer walks  recreio dos bandeirantes beach amid  coronavirus disease  outbreak  rio de janei "
"339"," recovery  home requires space  prevent infection   living    roof    "
"340","outofjob actor kartika sahoo sells vegetables  odisha  survive  lockdown "
"341",""
"342"," breaking share    admit   asymptomatic person      sy "
"343",""
"344","fiji   active    novel coronavirus diseasecovid "
"345","      reported  delhi   past hours taking  total     "
"346","barcelona legend xavi hernandez  tested positive     head coach  qatars al sadd   soc "
"347","riseandgrind help  cope   ifollowback"
"348","  government  rajasthan   poor pro look    slum   sitting     "
"349","active    assam india  increased    hours   hour data  mohfw goi"
"350","   business  dealing  "
"351","university  kentucky     somerset community college  create  advancements  mask filtrati "
"352","   safely restart nonemergent "
"353"," express entry draw figures   july draw  below immigration expes "
"354","    brain tickled    test   told  check  website   results   "
"355",""
"356","ladies date ur mate ull nor hear  babe     knees  hr  cause  called  boyfriend ode "
"357"," love  wicked "
"358",""
"359","heres startups  businesses      technologies  expertise  fight pandemic "
"360",""
"361"," wearing sunscreen        kills    "
"362"," andaman tourism isnt  amp theres  income   police  tell  crime    commit amp   "
"363"," access gp essay  mobile phone apps fail   vulnerable "
"364","  trump cared    protecting adults  school children   pandemic     protec "
"365","         distinct   "
"366","  countries  reported disruptions  childrens immunizations  "
"367","connecticuts total prison amp jail population  dropped    low   march st "
"368","running   balance   sma  recharge online stayhome  care   smart  "
"369"," online retail sector  busier     outbreak  "
"370","  dont wanna miss  bbnaijia alreadyvideo rihannaxtiwa obasekiflagsofftoday  "
"371"," speed   spread  "
"372",""
"373"," relief  temporarily allowed students  stop   payment  set  expire  september th  "
"374","rss meet discusses bhoomi pujan  ram temple indiachina standoff   issues amid  crisis sources "
"375","andhrapradesh  andhra pradesh  positive   discharges ne "
"376","  safetyfirst world brands  offer customer experiences ensuring wellbeing  convenience set themsel "
"377"," weekends "
"378",""
"379"," miss      duty    story  noman saghir  doting father  lab technician    "
"380","     world beating test track amp trace system   whi "
"381","surely   carried   correct risk assessments  allow  children  play football     "
"382"," business decision   using  medical career    decision   "
"383",""
"384","   "
"385","amazing   using  partnership   "
"386",""
"387","revovered corona bve plasma donor     donate plasma dm urgently required kashmir srinagar "
"388","due  overflow  hospital capacity   patients  starr county texas  committee  deem  pat "
"389","mamas  corona third generation owner irene debenedittis  encouraging  workers  treat  customers lik "
"390","  institutions    forging ahead  oncampus inperson classes activities  fall terms  "
"391","kaga maga please  kills dont fall   lie  vaccine        happens  "
